strategy,machine_type,elec_cost,day,n_machines,BTC,USD,price,global_hash_rate,global_mining_rev_btc,machine_hash_rate,machine_wattage,user_hash_rate,revenue_btc,expense_usd,total_position_usd
Long BTC,Antminer S17,0.04,52,227.0,3.6472252266082243,0.0,58975.76410611666,182199087.2,1044.0515891626596,56.0,2.5200000000000014,12712.0,0.07287190594836046,549.1584000000001,224517.5998351759
Long BTC,Antminer S17,0.04,53,227.0,3.704954104577381,0.0,61105.7865714441,182275662.88,1044.0529148070766,56.0,2.5200000000000014,12712.0,0.07284297499881552,549.1584000000001,236820.82075355906
Long BTC,Antminer S17,0.04,54,227.0,3.762150090343441,0.0,58510.54263834911,182596946.76,1044.0490230058929,56.0,2.5200000000000014,12712.0,0.07271684124034872,549.1584000000001,230125.21160498753
Long BTC,Antminer S17,0.04,55,227.0,3.819703208588022,0.0,56854.54763512176,183031912.08,1044.0476228884093,56.0,2.5200000000000014,12712.0,0.0725452501974985,549.1584000000001,226286.03102797698
Long BTC,Antminer S17,0.04,56,227.0,3.876793952985438,0.0,56374.441876844015,183345482.8,1044.0535576606972,56.0,2.5200000000000014,12712.0,0.07242198844654847,549.1584000000001,227195.70352864987
Long BTC,Antminer S17,0.04,57,227.0,3.934180668369347,0.0,57062.245374279504,184789647.44,1044.051616889913,56.0,2.5200000000000014,12712.0,0.07185335557090892,549.1584000000001,233367.8124005004
Long BTC,Antminer S17,0.04,58,227.0,3.991567470482968,0.0,58306.80329232022,185642264.24,1044.0529645236297,56.0,2.5200000000000014,12712.0,0.07152712218464578,549.1584000000001,241825.863491637
Long BTC,Antminer S17,0.04,59,227.0,4.0479439623025595,0.0,56802.00411575534,185968035.72,1044.0510819900928,56.0,2.5200000000000014,12712.0,0.07142476023564315,549.1584000000001,238607.13318151954
Long BTC,Antminer S17,0.04,60,227.0,4.103561515506504,0.0,56873.38349823064,186209270.4,1044.052953581366,56.0,2.5200000000000014,12712.0,0.07136323102699892,549.1584000000001,242329.80931271854
Long BTC,Antminer S17,0.04,61,227.0,4.159030211793656,0.0,57224.697304983856,186670299.24,1044.054112420892,56.0,2.5200000000000014,12712.0,0.07119384718352152,549.1584000000001,247368.67845738016
Long BTC,Antminer S17,0.04,62,227.0,4.215398500421174,0.0,58734.14196037279,187210553.08,1044.049804489393,56.0,2.5200000000000014,12712.0,0.07099093907068188,549.1584000000001,257102.3158799552
Long BTC,Antminer S17,0.04,63,227.0,4.270050395952114,0.0,56742.623535445964,187710114.4,1044.0466159164205,56.0,2.5200000000000014,12712.0,0.07079911608519847,549.1584000000001,251723.8994670389
Long BTC,Antminer S17,0.04,64,227.0,4.323712509275568,0.0,56500.65418670545,188982347.52,1044.0542386324905,56.0,2.5200000000000014,12712.0,0.07033038396717897,549.1584000000001,254012.65224940944
Long BTC,Antminer S17,0.04,65,227.0,4.3775169680682025,0.0,58291.38897006658,188731342.8,1044.0545380052777,56.0,2.5200000000000014,12712.0,0.07049703072229993,549.1584000000001,265317.3013384058
Long BTC,Antminer S17,0.04,66,227.0,4.43197215888493,0.0,57707.40130061879,189539749.0,1044.053034117933,56.0,2.5200000000000014,12712.0,0.07020933683978749,549.1584000000001,265907.004479166
Long BTC,Antminer S17,0.04,67,227.0,4.4862992818846195,0.0,58556.19381901725,189443510.4,1044.0556397506516,56.0,2.5200000000000014,12712.0,0.0702685814103027,549.1584000000001,273153.84663222125
Long BTC,Antminer S17,0.04,68,227.0,4.540421913717111,0.0,58408.0502769527,189729546.36,1044.0546801999762,56.0,2.5200000000000014,12712.0,0.07021020507286915,549.1584000000001,276098.4897822436
Long BTC,Antminer S17,0.04,69,227.0,4.593430229568455,0.0,57972.67503158534,189836327.92,1044.0506485080136,56.0,2.5200000000000014,12712.0,0.07024017811508901,549.1584000000001,277983.6301608318
Long BTC,Antminer S17,0.04,70,227.0,4.647101652839267,0.0,58970.17668402933,189748403.36,1044.0571442390055,56.0,2.5200000000000014,12712.0,0.07028430953830217,549.1584000000001,285710.20668073284
Long BTC,Antminer S17,0.04,71,227.0,4.700123217957616,0.0,57693.8245936998,190534411.68,1044.0520120555907,56.0,2.5200000000000014,12712.0,0.07003238643304414,549.1584000000001,282912.03219189425
Long BTC,Antminer S17,0.04,72,227.0,4.753523227196623,0.0,58594.72659813229,191366602.96,1044.052432825192,56.0,2.5200000000000014,12712.0,0.06974498943938737,549.1584000000001,290899.20451226254
Long BTC,Antminer S17,0.04,73,227.0,4.806165075463619,0.0,56506.10827020084,192635535.04,1044.048940696378,56.0,2.5200000000000014,12712.0,0.069291296250758,549.1584000000001,282663.6750150859
Long BTC,Antminer S17,0.04,74,227.0,4.857298561615579,0.0,51522.1079830694,192862951.48,1044.055328053538,56.0,2.5200000000000014,12712.0,0.06931536572253677,549.1584000000001,260573.10621210004
Long BTC,Antminer S17,0.04,75,227.0,4.908239744038937,0.0,50524.07912856776,192368865.16,1044.0529896516464,56.0,2.5200000000000014,12712.0,0.06963471751501532,549.1584000000001,258201.69015728493
Long BTC,Antminer S17,0.04,76,227.0,4.9584715363687915,0.0,52668.227888748224,192455518.52,1044.047515450904,56.0,2.5200000000000014,12712.0,0.06967156585245998,549.1584000000001,273013.3009667156
Long BTC,Antminer S17,0.04,77,227.0,5.0091397083933495,0.0,53254.81922322935,192924374.56,1044.0527474281726,56.0,2.5200000000000014,12712.0,0.06954036429908386,549.1584000000001,278711.4705032241
Long BTC,Antminer S17,0.04,78,227.0,5.058556460706581,0.0,53361.35753545356,193228641.84,1044.0489009806272,56.0,2.5200000000000014,12712.0,0.0694775398018527,549.1584000000001,281956.5617106724
Long BTC,Antminer S17,0.04,79,227.0,5.107565653748771,0.0,50540.51418733683,193466829.6,1044.052412226093,56.0,2.5200000000000014,12712.0,0.06943549822455557,549.1584000000001,269023.8422889602
Long BTC,Antminer S17,0.04,80,227.0,5.155514538546576,0.0,49016.643555767296,194164596.92,1044.0528415946608,56.0,2.5200000000000014,12712.0,0.06924258594641132,549.1584000000001,263217.8433500561
Long BTC,Antminer S17,0.04,81,227.0,5.202478753968457,0.0,48734.969484843576,194639150.32,1044.0508210880337,56.0,2.5200000000000014,12712.0,0.0690982103755545,549.1584000000001,264337.52874384256
Long BTC,Antminer S17,0.04,82,227.0,5.249212137499703,0.0,45722.55489999722,194556974.8,1044.050922263877,56.0,2.5200000000000014,12712.0,0.06919677414748716,549.1584000000001,250367.55987255942
Long BTC,Antminer S17,0.04,83,227.0,5.29556987905564,0.0,46067.46352553814,194391429.96,1044.0508077952995,56.0,2.5200000000000014,12712.0,0.06945300796744198,549.1584000000001,255307.3089648235
Long BTC,Antminer S17,0.04,84,227.0,5.340382274379197,0.0,46386.70977334724,194455850.16,1044.0485682151354,56.0,2.5200000000000014,12712.0,0.06954935673780936,549.1584000000001,260217.80661173706
